EAN,Sales Price,Qty at Store,Qty at DC,in assortment
7622300844943,32.7,132,1770,1
7794560000053,10,0,0,1
7792860016217,11.2,202,1530,1
7790040177901,12.8,76,2850,1
7790387120363,22.8,13,1728,1
7791254000146,11,11,0,1
7793680000615,0,0,0,1
7891150014343,46.63,63,36,1
7790079019692,46,22,0,1
7798152220973,29,17,48,1
7790130001376,20.25,44,-2400,1
7795933001035,34,7,144,1
7622300832629,61.56,23,504,1
19582411104,118,0,0,1
7792129002395,40.6,6,390,1
7794440002399,10.8,167,11900,1
7791875000600,225,0,0,1
7790580259402,38.6,23,144,1
7790900016654,58,0,0,1
7798035770328,24,16,924,1
7790499000430,0,0,24,1
3614220617220,90,0,0,0
7792798000517,48,28,480,1
7791290006706,26,13,1830,1
7792713104023,0,0,0,1
7790236000570,43.19,22,0,1
7792180005229,94.19,12,-186,1
7791813421269,22,11,12,1
7795933208151,46,34,36,1
7506339337891,365,15,288,1
7791813410362,10.5,0,0,1
7793253038106,8.8,70,15264,1
75046293,38,24,24,1
7791176219008,14,0,0,1
7896009419324,61,25,1200,1
7790957002808,59,19,27,1
7622300057091,33,90,1110,1
7798159716264,0,0,54,1
7790520011466,90,13,276,1
7798116250374,0,0,0,0
309978392903,0,0,0,0
14100085478,0,0,1200,1
7793360106002,29.2,258,10908,1
7796425000048,75,16,444,1
7791293033044,67,12,324,1
7509546055152,90,18,636,1
7790080031843,37.6,0,0,1
7613034426710,103.4,23,600,1
7798141713691,70,20,36,1
54400000092,0,0,24,1
7798108349314,14.1,19,3460,1
7791843008898,100,18,12,1
7798141710171,33,24,384,1
7791905003625,66.9,0,426,1
7798159715762,22,724,258864,1
7790480009114,53,7,4158,1
7790895010811,25.6,16,0,1
7790580105297,20,0,-912,1
7798142350550,48.9,0,0,1
7891010580322,46.8,19,276,1
7791813421351,22,70,9180,1
41554409185,0,0,0,0
80042563,81,0,12,1
7798142350468,46.8,1,0,1
7791520012187,31.1,13,360,1
7702031998174,70,31,216,1
78895128789,76,12,228,1
7500435020275,148,10,1210,1
7501059273252,169.99,69,4956,1
7793123160050,0,0,0,1
7790080068481,19.5,0,0,1
7899706118828,96,15,768,1
7798116661583,920,8,0,1
7790520004789,59,22,216,1
3600530554126,0,0,0,0
7792378001705,22,43,1260,1
7791203001248,300,8,162,1
7798159715335,40,133,14952,1
309975309157,0,0,0,0
7790950112924,128.99,17,24,1
7792900808215,63,7,1016,1
7790990993606,41.9,20,48,1
70330719088,85,35,1656,1
78927254,43.5,13,3552,1
11210000018,104,6,192,1
7622300847234,31.2,8,14355,1
7793913000092,43.2,4,5604,1
7500435004732,184,21,820,1
7798141718399,25,21,600,1
7790580116583,44,28,224,1
7790828104235,0,0,0,1
7790770003006,29,25,1700,1
7798141710225,26,10,420,1
41500750903,82,6,60,1
7790950134704,29.7,10,1188,1
7791813423997,35.5,20,0,1
7791293026145,43.7,50,672,1
34000000074,55,0,0,1
7790150438244,16.8,33,2520,1
7791620009803,25.5,19,1950,1
7791293033396,42,15,696,1
7790387610109,115,7,290,1
77949691,28,0,1280,1
7791249451472,32,40,7480,1
7794450092519,215,24,0,1
7790975017822,110,7,450,1
7790900016869,77.5,27,0,1
70330722620,110,30,-756,1
7790828102729,126,10,9,1
7791254185546,19.9,32,4676,1
7622300855093,4.69,1332,84800,1
7790310004227,63,10,66,1
7798128000684,37.5,37,21,1
7792798000234,55,20,504,1
7791199002458,21,33,384,1
7792799000097,20.7,100,2310,1
7790080055733,54,36,0,1
7793008006367,64,0,0,1
7793913000948,27.9,22,0,1
7793100111846,100,62,432,1
77968463,24,0,0,1
7790360964557,16.3,31,5880,1
7794626008016,434,6,88,1
7790895068096,40,479,6150,1
7793253002688,30,18,1460,1
7794000598881,14.5,61,1836,1
7791290010512,32.99,40,4572,1
7798136300165,364,10,84,1
7790762052364,37.2,8,144,1
7798152221796,19,2,800,1
7500435012096,146,48,1700,1
4005808084500,197,6,0,1
7792389000063,0,0,0,1
7790770002955,80,19,444,1
7795426000095,0,0,0,1
7790070411365,29.99,52,3264,1
7798137320018,110,12,216,1
7790580103347,34,0,336,1
7792307001011,0,0,0,1
8034042670756,0,0,0,1
7791337992610,38.99,38,0,1
7797942005028,35.39,0,0,1
7790360025944,97,14,0,1
8003240071085,0,0,12,1
7790070318879,33,12,4440,1
7790770004232,82,0,0,1
8000139910197,82,15,144,1
7791130001007,89,14,612,1
7791333000036,100,19,0,1
7790416640312,0,0,0,0
7790580105013,46,117,1344,1
7791905002390,36.99,0,0,1
7792380000413,0,0,0,1
7790681002037,29,41,4140,1
7790427000037,28,12,444,1
7798099592812,171,18,0,1
7790742176707,35.89,35,0,1
7795711000953,17.9,70,950,1
7500435005852,88.39,4,1080,1
7793350000464,42.9,7,3204,1
7790580511401,28.5,10,0,1
7798128000509,270,19,36,1
7790387014150,76,11,3410,1
7790580111618,7.9,0,0,1
7790040991705,28.9,36,4464,1
70330605282,21,173,750,1
7793360103025,19,40,1032,1
7793100141898,63,7,192,1
7798159715359,34,43,11700,1
7794640170614,38.2,14,180,1
7791130002844,15.5,23,2016,1
7795697611662,45,22,60,1
7792900009247,76,17,60,1
77900319,51,25,1104,1
7794626006753,329,15,186,1
7793253002787,0,0,0,1
7794770105159,52,26,0,1
7790975017853,95,8,78,1
7790240095258,110.7,19,858,1
7791290012615,53.34,64,1920,1
7899026424258,0,0,0,0
7798109152265,90,14,0,1
7793964000041,0,0,0,1
7791130002417,43.2,89,1344,1
7798141716388,19.5,29,882,1
7793913001822,23.1,609,24,1
7791249001929,0,0,48,1
7790202000610,34.43,48,1728,1
7792900092805,8.31,26,2820,1
7791690708040,45,0,0,1
7798174970016,14.3,1,20,1
41789001840,30,9,1524,1
7790070960528,16.7,149,1680,1
7791290009783,137,191,312,1
7791720002919,34,12,0,1
7790940000071,0,0,0,1
7730114000780,90,12,120,1
7791130001649,36.4,14,4476,1
7798159713911,33,12,4488,1
8000139924842,0,0,48,1
7798176000582,23.9,0,0,1
7790239000096,40,19,18,1
7790895004599,15,18,2244,1
7798073135097,192,0,0,1
7792319677273,100,12,0,1
7798159715410,15.9,25,6840,1
7791019002859,43.3,15,221,1
7792798001286,159,0,0,1
7798105510137,32,-4,0,1
7798181510113,70,19,240,1
7798141716517,26,77,400,1
7790036001425,87.75,6,6,1
7896419500216,106,18,588,1
7790742187703,45.6,34,0,1
7899026423534,0,0,0,0
7790040725102,23,16,0,1
7500435113595,167,22,472,1
8411102015786,85,17,1212,1
7790613001282,0,0,4,1
7793306000227,68,19,0,1
7506339349054,64,0,1512,1
7790040667303,23.54,39,3525,1
7798224210260,43,17,0,1
7791905002765,76.9,1,-24,1
7791293027937,46,38,612,1
7798008293557,85,0,0,1
7794450000781,193,8,150,1
7790499000416,33,29,360,1
7798108344807,39,12,1065,1
7790740529369,0,0,0,1
7794000960091,27.39,522,14460,1
7791885004094,33,0,432,1
7798138290136,43.5,59,832,1
7792070001614,125,22,1212,1
7896624202677,11,0,0,1
7790036002644,5,73,11016,1
7792410132244,58,10,36,1
7793132000804,0,0,0,1
7790950003055,26.8,28,1116,1
7791130683661,20.13,26,1980,1
7790878114024,0,0,0,1
7791520005141,60,17,24,1
7798119220015,22.9,901,70008,1
7790520010568,52,18,1944,1
7790250024132,69,15,370,1
7790520016478,28.6,17,2904,1
7790580108229,11,179,0,1
7796373001128,56,9,60,1
7790045825395,25.99,72,9168,1
7792756010046,0,0,0,1
7796020000344,173,30,204,1
7622300865559,14.6,57,96,1
8004323113630,79,42,140,1
